Address,Neighborhood,Bedrooms,Bathrooms,Square Meters,Building Age,Garden,Garage,Floors,Property Type,Heating Type,Balcony,Interior Style,View,Materials,Building Status,Price,Mapped_location,Unnamed: 0,Property Name,price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
45 Bond Street,Islington,3,2,116,71,0,0,2,Apartment,Central Heating,High-level Balcony,Minimalist,Park,Granite,New,928000,Islington,2019,Chantry Street,1600000,House,1195,2,2,2,Islington,London,N1 8NL
146 King's Road,Islington,4,2,113,72,1,0,1,Semi-Detached,Gas Heating,Low-level Balcony,Classic,Park,Granite,Old,1084800,Islington,2017,Noel Road,900000,Flat / Apartment,822,2,2,2,Islington,London,N1 8HD
175 Piccadilly Circus,Islington,5,1,71,16,1,1,1,Detached House,Underfloor Heating,Low-level Balcony,Industrial,Park,Granite,Old,852000,Islington,355,Thornhill Crescent,2850000,House,2857,5,5,5,Islington,London,N1 1BJ
81 King's Road,Westminster,2,3,127,2,1,1,1,Apartment,Electric Heating,High-level Balcony,Classic,Park,Laminate Flooring,Renovated,1524000,Westminster,1882,Rochester Row,995000,Flat / Apartment,747,2,2,2,Westminster,London,SW1P 1LQ
169 Oxford Street,Marylebone,2,1,225,57,0,0,2,Apartment,Central Heating,High-level Balcony,Classic,Sea,Marble,Old,2250000,Westminster,2227,Marylebone High Street,7250000,New development,1991,3,3,3,Marylebone,London,W1U 4PY
84 Regent Street,Marylebone,3,1,80,79,0,1,2,Detached House,Gas Heating,No Balcony,Classic,City,Granite,New,1200000,Westminster,72,Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB
20 Regent Street,Islington,2,1,201,42,0,1,3,Semi-Detached,Central Heating,High-level Balcony,Minimalist,Garden,Granite,New,1929600,Islington,2308,Thornhill Grove,2100000,House,1677,3,3,3,Islington,London,N1 1JG
178 Piccadilly Circus,Shoreditch,5,3,249,13,1,0,2,Semi-Detached,Underfloor Heating,Low-level Balcony,Modern,Street,Wood,Old,2191200,Hackney,2473,City Road,1977000,New development,1075,2,2,2,Shoreditch,London,EC1V 1AA
5 Bond Street,Notting Hill,1,2,102,97,0,0,1,Detached House,Central Heating,Low-level Balcony,Classic,Sea,Granite,Old,1632000,Kensington and Chelsea,1199,Westbourne Park Road,4500000,House,2742,6,6,6,Notting Hill,London,W2 5PH
123 Baker Street,Chelsea,4,1,64,52,0,0,1,Semi-Detached,Gas Heating,Low-level Balcony,Minimalist,Garden,Granite,New,1024000,Kensington and Chelsea,2568,Markham Street,2950000,House,1415,3,3,3,Chelsea,London,SW3 3NP
122 King's Road,Islington,2,1,186,41,0,0,2,Detached House,Underfloor Heating,High-level Balcony,Classic,Street,Wood,New,2232000,Islington,2071,Cross Street,3300000,House,2640,5,5,5,Islington,London,N1 2BH
122 King's Road,Islington,2,1,186,41,0,0,2,Detached House,Underfloor Heating,High-level Balcony,Classic,Street,Wood,New,2232000,Islington,3153,Malvern Terrace,2000000,House,1450,4,4,4,Islington,London,N1 1HR
20 Fleet Street,Islington,1,2,240,95,1,1,3,Apartment,Gas Heating,No Balcony,Industrial,City,Laminate Flooring,New,1920000,Islington,1830,Alwyne Square,2650000,House,2314,5,5,5,Islington,London,N1 2JX
172 King's Road,Marylebone,3,1,167,66,0,1,1,Semi-Detached,Electric Heating,High-level Balcony,Classic,Garden,Wood,Old,2004000,Westminster,1653,Gloucester Place,1050000,Flat / Apartment,848,3,3,3,Marylebone,London,W1U 6AW
81 Baker Street,Notting Hill,1,1,102,41,0,1,3,Semi-Detached,Central Heating,No Balcony,Classic,Street,Laminate Flooring,Renovated,1305600,Kensington and Chelsea,3428,Kensington Park Road,9000000,House,3932,4,4,4,Notting Hill,London,W11 3BU
79 Camden High Street,Notting Hill,5,1,52,56,0,0,2,Detached House,Gas Heating,No Balcony,Industrial,Park,Granite,Old,832000,Kensington and Chelsea,2977,Chepstow Road,1550000,Flat / Apartment,1227,2,2,2,Notting Hill,London,W2 5BH
24 Park Lane,Islington,3,2,228,19,1,1,2,Detached House,Underfloor Heating,No Balcony,Industrial,Sea,Wood,Renovated,2736000,Islington,529,Eagle Wharf Road,895000,New development,1033,3,3,3,Islington,London,N1 7EG
192 Oxford Street,Chelsea,5,1,127,80,1,0,2,Semi-Detached,Electric Heating,Low-level Balcony,Classic,Garden,Marble,New,2032000,Kensington and Chelsea,1005,Wellington Square,3950000,House,2530,6,6,6,Chelsea,London,SW3 4NW
84 Regent Street,Marylebone,3,1,80,79,0,1,2,Detached House,Gas Heating,No Balcony,Classic,City,Granite,New,1200000,Westminster,2136,Dukes Mews,4000000,House,2435,3,3,3,Marylebone,London,W1U 3ET
39 Fleet Street,Islington,5,1,208,84,1,0,1,Apartment,Underfloor Heating,No Balcony,Modern,Garden,Granite,Old,1664000,Islington,589,Offord Road,925000,Flat / Apartment,931,2,2,2,Islington,London,N1 1EA
84 Bond Street,Islington,4,2,96,10,1,0,2,Detached House,Electric Heating,No Balcony,Minimalist,Park,Wood,Renovated,1152000,Islington,3056,Packington Street,1000000,Flat / Apartment,923,2,2,2,Islington,London,N1 8RA
31 Baker Street,Greenwich,2,2,205,32,0,1,3,Detached House,Electric Heating,Low-level Balcony,Minimalist,Park,Granite,Renovated,2050000,Greenwich,2688,Chandlers Avenue,395000,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN
55 Baker Street,Islington,1,1,243,94,1,0,2,Detached House,Central Heating,High-level Balcony,Industrial,City,Granite,New,2916000,Islington,529,Eagle Wharf Road,895000,New development,1033,3,3,3,Islington,London,N1 7EG
143 Camden High Street,Islington,2,3,199,46,0,1,3,Semi-Detached,Central Heating,Low-level Balcony,Minimalist,Street,Laminate Flooring,Old,1910400,Islington,589,Offord Road,925000,Flat / Apartment,931,2,2,2,Islington,London,N1 1EA
83 Fleet Street,Islington,5,3,155,48,0,0,1,Detached House,Gas Heating,No Balcony,Industrial,Street,Marble,New,1860000,Islington,461,Gibson Square,2375000,House,2153,3,3,3,Islington,London,N1 0RD
145 Camden High Street,Marylebone,3,3,121,31,1,1,1,Apartment,Underfloor Heating,Low-level Balcony,Industrial,Park,Marble,Old,1210000,Westminster,3203,Wyndham Street,3650000,House,2390,4,4,4,Marylebone,London,W1H 1DB
88 Piccadilly Circus,Chelsea,4,3,141,8,1,0,3,Semi-Detached,Underfloor Heating,Low-level Balcony,Minimalist,City,Granite,Old,2256000,Kensington and Chelsea,766,Sloane Court East,750000,Flat / Apartment,599,1,1,1,Chelsea,London,SW3 4TQ
148 Oxford Street,Notting Hill,1,3,137,54,1,0,3,Detached House,Central Heating,Low-level Balcony,Industrial,City,Laminate Flooring,New,2192000,Kensington and Chelsea,2977,Chepstow Road,1550000,Flat / Apartment,1227,2,2,2,Notting Hill,London,W2 5BH
55 Strand,Marylebone,2,2,231,51,0,0,3,Detached House,Underfloor Heating,Low-level Balcony,Industrial,Sea,Laminate Flooring,New,3465000,Westminster,2231,Wesley Street,5250000,House,3092,5,5,5,Marylebone,London,W1G 8PT
185 Bond Street,Westminster,2,1,51,85,1,1,1,Detached House,Gas Heating,Low-level Balcony,Industrial,Sea,Laminate Flooring,Renovated,918000,Westminster,3310,Vincent Square,1425000,Flat / Apartment,1218,2,2,2,Westminster,London,SW1P 2PQ
199 Camden High Street,Marylebone,2,3,179,98,0,0,1,Apartment,Central Heating,High-level Balcony,Classic,Sea,Laminate Flooring,Old,1790000,Westminster,1650,Wigmore Place,1950000,Flat / Apartment,1765,2,2,2,Marylebone,London,W1U 2LR
23 Strand,Marylebone,4,3,140,32,0,0,1,Detached House,Central Heating,High-level Balcony,Industrial,City,Marble,New,2100000,Westminster,2754,Upper Wimpole Street,11950000,House,7226,5,5,5,Marylebone,London,W1G 6LU
63 Oxford Street,Islington,4,2,92,57,1,0,1,Detached House,Central Heating,High-level Balcony,Industrial,Park,Laminate Flooring,New,1104000,Islington,985,Alwyne Road,4200000,House,2968,3,3,3,Islington,London,N1 2HN
39 Piccadilly Circus,Islington,5,1,237,53,1,1,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,3382,Mortimer Road,3500000,House,3174,4,4,4,Islington,London,N1 4LB
23 Strand,Shoreditch,4,1,233,81,0,0,2,Detached House,Underfloor Heating,No Balcony,Minimalist,Street,Granite,New,2563000,Hackney,2366,City Road,1000000,Flat / Apartment,1173,2,2,2,Shoreditch,London,EC1V 2NR
61 Oxford Street,Islington,3,1,70,10,0,0,3,Detached House,Underfloor Heating,High-level Balcony,Classic,Street,Wood,New,840000,Islington,1797,Goswell Road,750000,Flat / Apartment,789,2,2,2,Islington,London,EC1V 7AH
158 Piccadilly Circus,Islington,2,1,129,50,1,1,3,Apartment,Central Heating,No Balcony,Classic,City,Laminate Flooring,New,1032000,Islington,1244,Northchurch Road,500000,Flat / Apartment,675,1,1,1,Islington,London,N1 3FL
117 King's Road,Marylebone,3,1,141,92,0,1,2,Apartment,Electric Heating,High-level Balcony,Classic,City,Granite,New,1410000,Westminster,2754,Upper Wimpole Street,11950000,House,7226,5,5,5,Marylebone,London,W1G 6LU
97 Strand,Marylebone,2,2,131,93,0,0,2,Detached House,Gas Heating,High-level Balcony,Minimalist,Street,Marble,Old,1965000,Westminster,1147,Wimpole Mews,1050000,Flat / Apartment,1309,3,3,3,Marylebone,London,W1G 8PD
32 Park Lane,Notting Hill,1,2,101,43,1,0,3,Detached House,Gas Heating,High-level Balcony,Modern,Sea,Laminate Flooring,Old,1616000,Kensington and Chelsea,2920,Pembridge Villas,1795000,Flat / Apartment,1118,2,2,2,Notting Hill,London,W11 3EL
165 Park Lane,Camden,1,1,65,51,0,0,1,Apartment,Underfloor Heating,No Balcony,Industrial,Garden,Wood,Old,563333,Camden,398,St. Augustines Road,499000,Flat / Apartment,451,1,1,1,Camden,London,NW1 9RN
68 Regent Street,Notting Hill,1,3,184,3,0,0,2,Semi-Detached,Electric Heating,No Balcony,Classic,Park,Marble,Old,2355199,Kensington and Chelsea,2873,Porchester Road,899995,Flat / Apartment,834,2,2,2,Notting Hill,London,W2 5DP
72 Camden High Street,Islington,5,1,121,77,0,1,1,Detached House,Central Heating,No Balcony,Modern,Garden,Laminate Flooring,Old,1452000,Islington,2308,Thornhill Grove,2100000,House,1677,3,3,3,Islington,London,N1 1JG
60 Fleet Street,Greenwich,2,1,174,59,0,0,1,Semi-Detached,Electric Heating,Low-level Balcony,Classic,City,Granite,Old,1392000,Greenwich,1676,48 Reminder Lane,450000,Flat / Apartment,566,1,1,1,Greenwich,London,SE10 0NQ
195 Bond Street,Marylebone,1,1,85,54,1,0,1,Detached House,Central Heating,No Balcony,Industrial,City,Marble,Old,1275000,Westminster,3321,Mansfield Street,4950000,Flat / Apartment,2097,3,3,3,Marylebone,London,W1G 9NF
158 Piccadilly Circus,Islington,2,1,129,50,1,1,3,Apartment,Central Heating,No Balcony,Classic,City,Laminate Flooring,New,1032000,Islington,1431,Remington Street,1050000,House,1206,2,2,2,Islington,London,N1 8DH
141 Bond Street,Chelsea,3,3,180,20,0,0,3,Detached House,Gas Heating,Low-level Balcony,Modern,Park,Marble,Renovated,3600000,Kensington and Chelsea,1005,Wellington Square,3950000,House,2530,6,6,6,Chelsea,London,SW3 4NW
133 Baker Street,Westminster,1,1,228,67,0,1,2,Detached House,Electric Heating,High-level Balcony,Modern,Street,Laminate Flooring,Renovated,4104000,Westminster,79,Great Peter Street,1100000,New development,791,2,2,2,Westminster,London,SW1P 2BN
64 Camden High Street,Islington,3,3,119,9,1,1,2,Detached House,Underfloor Heating,High-level Balcony,Industrial,Street,Wood,Renovated,1428000,Islington,2638,Southgate Road,1675000,House,1845,5,5,5,Islington,London,N1 3HX
143 Strand,Marylebone,4,1,76,50,1,0,3,Apartment,Central Heating,Low-level Balcony,Classic,Park,Marble,Old,760000,Westminster,2754,Upper Wimpole Street,11950000,House,7226,5,5,5,Marylebone,London,W1G 6LU
195 Fleet Street,Marylebone,3,1,227,2,0,0,2,Detached House,Electric Heating,No Balcony,Industrial,Sea,Granite,Renovated,3405000,Westminster,2383,Hallam Street,1095000,Flat / Apartment,663,2,2,2,Marylebone,London,W1W 6JN
157 Baker Street,Islington,5,1,184,59,0,1,2,Semi-Detached,Gas Heating,High-level Balcony,Minimalist,Sea,Wood,Renovated,1766400,Islington,1436,Noel Road,2650000,House,2311,2,2,2,Islington,London,N1 8HA
41 King's Road,Marylebone,2,3,230,69,1,0,3,Semi-Detached,Underfloor Heating,No Balcony,Minimalist,Street,Granite,Old,2760000,Westminster,2227,Marylebone High Street,7250000,New development,1991,3,3,3,Marylebone,London,W1U 4PY
42 Fleet Street,Islington,2,3,162,82,1,0,2,Semi-Detached,Gas Heating,High-level Balcony,Classic,Garden,Marble,New,1555200,Islington,1223,Canonbury Lane,2275000,House,1969,4,4,4,Islington,London,N1 2AP
196 Camden High Street,Shoreditch,5,3,123,8,0,1,1,Apartment,Central Heating,High-level Balcony,Classic,City,Laminate Flooring,Renovated,902000,Hackney,2474,City Road,2379000,New development,1372,3,3,3,Shoreditch,London,EC1V 1AA
108 Oxford Street,Islington,3,2,104,44,0,0,1,Semi-Detached,Electric Heating,High-level Balcony,Classic,Sea,Granite,Old,998400,Islington,3056,Packington Street,1000000,Flat / Apartment,923,2,2,2,Islington,London,N1 8RA
181 Baker Street,Shoreditch,3,2,153,49,0,0,3,Detached House,Electric Heating,Low-level Balcony,Minimalist,Sea,Granite,New,1683000,Hackney,2473,City Road,1977000,New development,1075,2,2,2,Shoreditch,London,EC1V 1AA
66 Piccadilly Circus,Notting Hill,3,3,177,51,0,1,1,Detached House,Electric Heating,Low-level Balcony,Classic,Street,Marble,Renovated,2832000,Kensington and Chelsea,3219,Northumberland Place,3250000,House,1929,4,4,4,Notting Hill,London,W2 5BS
99 Camden High Street,Camden,4,1,191,27,0,1,2,Semi-Detached,Central Heating,Low-level Balcony,Minimalist,Park,Laminate Flooring,Old,1986399,Camden,2728,Oakley Square,3750000,House,4847,6,6,6,Camden,London,NW1 1NJ
14 Bond Street,Islington,2,3,249,71,0,0,3,Apartment,Central Heating,No Balcony,Classic,Sea,Granite,New,1992000,Islington,443,Ellington Street,2750000,House,2500,5,5,5,Islington,London,N7 8PN
25 Piccadilly Circus,Marylebone,5,1,98,8,0,1,3,Semi-Detached,Central Heating,High-level Balcony,Classic,Street,Marble,Renovated,1176000,Westminster,708,Luxborough Street,750000,Flat / Apartment,633,2,2,2,Marylebone,London,W1U 5BS
63 Oxford Street,Islington,4,2,92,57,1,0,1,Detached House,Central Heating,High-level Balcony,Industrial,Park,Laminate Flooring,New,1104000,Islington,986,Lawford Road,1375000,House,1340,3,3,3,Islington,London,N1 5BJ
178 Piccadilly Circus,Shoreditch,5,3,249,13,1,0,2,Semi-Detached,Underfloor Heating,Low-level Balcony,Modern,Street,Wood,Old,2191200,Hackney,1846,Chilton Street,625000,Flat / Apartment,842,1,1,1,Shoreditch,London,E2 6EA
199 Camden High Street,Marylebone,2,3,179,98,0,0,1,Apartment,Central Heating,High-level Balcony,Classic,Sea,Laminate Flooring,Old,1790000,Westminster,1286,Harley Place,1350000,Mews,993,2,2,2,Marylebone,London,W1G 8QE
90 Camden High Street,Notting Hill,4,2,54,41,0,0,2,Semi-Detached,Gas Heating,High-level Balcony,Modern,Street,Granite,Old,691200,Kensington and Chelsea,1281,Clarendon Road,3600000,House,1831,5,5,5,Notting Hill,London,W11 2HW
94 Bond Street,Marylebone,4,3,61,92,0,1,1,Apartment,Gas Heating,No Balcony,Modern,Garden,Laminate Flooring,Renovated,610000,Westminster,2622,Portland Place,1050000,Flat / Apartment,631,2,2,2,Marylebone,London,W1B 1NX
178 Park Lane,Marylebone,5,1,238,88,0,1,1,Apartment,Underfloor Heating,Low-level Balcony,Modern,City,Granite,New,2380000,Westminster,3336,Bryanston Mews West,5250000,House,3108,8,8,8,Marylebone,London,W1H 2BW
66 Piccadilly Circus,Notting Hill,3,3,177,51,0,1,1,Detached House,Electric Heating,Low-level Balcony,Classic,Street,Marble,Renovated,2832000,Kensington and Chelsea,232,Rede Place,2700000,House,1791,3,3,3,Notting Hill,London,W2 4TU
84 Camden High Street,Islington,1,1,168,76,0,0,2,Apartment,Central Heating,High-level Balcony,Modern,Garden,Wood,New,1344000,Islington,2019,Chantry Street,1600000,House,1195,2,2,2,Islington,London,N1 8NL
120 Park Lane,Shoreditch,2,2,84,35,0,0,3,Detached House,Electric Heating,No Balcony,Modern,City,Laminate Flooring,Old,924000,Hackney,3283,Worship Street,1100000,Flat / Apartment,1024,2,2,2,Shoreditch,London,EC2A 2AH
34 Camden High Street,Marylebone,2,3,115,64,1,0,1,Apartment,Electric Heating,Low-level Balcony,Modern,Street,Marble,New,1150000,Westminster,2250,Cato Street,2500000,House,1888,3,3,3,Marylebone,London,W1H 5JH
196 Baker Street,Camden,5,1,52,19,0,1,2,Apartment,Electric Heating,High-level Balcony,Industrial,City,Wood,New,450666,Camden,269,Murray Mews,1395000,House,1587,3,3,3,Camden,London,NW1 9RJ
6 Bond Street,Islington,4,1,69,34,1,0,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Marble,Old,552000,Islington,589,Offord Road,925000,Flat / Apartment,931,2,2,2,Islington,London,N1 1EA
196 Camden High Street,Shoreditch,5,3,123,8,0,1,1,Apartment,Central Heating,High-level Balcony,Classic,City,Laminate Flooring,Renovated,902000,Hackney,395,Wimbolt Street,1999995,House,1935,5,5,5,Shoreditch,London,E2 7BX
47 Regent Street,Kensington,4,2,200,41,0,0,1,Semi-Detached,Gas Heating,No Balcony,Industrial,Park,Marble,Renovated,3039999,Kensington and Chelsea,3448,Pembroke Square,4950000,House,2881,4,4,4,Kensington,London,W8 6PD
32 Bond Street,Notting Hill,5,2,69,69,1,1,2,Apartment,Central Heating,Low-level Balcony,Minimalist,Park,Marble,Renovated,736000,Kensington and Chelsea,2977,Chepstow Road,1550000,Flat / Apartment,1227,2,2,2,Notting Hill,London,W2 5BH
115 Fleet Street,Islington,1,2,206,11,0,1,2,Apartment,Underfloor Heating,Low-level Balcony,Minimalist,Garden,Laminate Flooring,Renovated,1648000,Islington,3277,Duncan Terrace,4250000,House,2940,4,4,4,Islington,London,N1 8AG
76 Regent Street,Notting Hill,5,3,70,94,0,0,3,Detached House,Underfloor Heating,Low-level Balcony,Modern,Street,Marble,Old,1120000,Kensington and Chelsea,3430,Pembridge Villas,5950000,New development,2770,2,2,2,Notting Hill,London,W11 2SU
75 King's Road,Shoreditch,1,3,116,22,1,0,1,Apartment,Gas Heating,Low-level Balcony,Minimalist,Street,Laminate Flooring,Old,850666,Hackney,2474,City Road,2379000,New development,1372,3,3,3,Shoreditch,London,EC1V 1AA
63 Park Lane,Chelsea,5,1,96,41,1,0,3,Detached House,Central Heating,High-level Balcony,Classic,Garden,Laminate Flooring,Old,1920000,Kensington and Chelsea,1756,Old Church Street,500000,Flat / Apartment,373,1,1,1,Chelsea,London,SW3 5BZ
196 Fleet Street,Chelsea,1,1,137,88,1,1,2,Detached House,Gas Heating,No Balcony,Industrial,Sea,Marble,Old,2740000,Kensington and Chelsea,1005,Wellington Square,3950000,House,2530,6,6,6,Chelsea,London,SW3 4NW
16 Piccadilly Circus,Notting Hill,4,3,70,76,0,1,3,Detached House,Underfloor Heating,No Balcony,Modern,City,Laminate Flooring,New,1120000,Kensington and Chelsea,3262,Arundel Gardens,9500000,House,4683,6,6,6,Notting Hill,London,W11 2LB
153 Strand,Marylebone,4,1,249,43,1,0,3,Semi-Detached,Central Heating,No Balcony,Classic,Street,Wood,Renovated,2988000,Westminster,1653,Gloucester Place,1050000,Flat / Apartment,848,3,3,3,Marylebone,London,W1U 6AW
34 Camden High Street,Marylebone,2,3,115,64,1,0,1,Apartment,Electric Heating,Low-level Balcony,Modern,Street,Marble,New,1150000,Westminster,178,Devonshire Mews South,3750000,House,3256,3,3,3,Marylebone,London,W1G 6QW
190 Regent Street,Marylebone,3,3,229,13,1,1,1,Semi-Detached,Central Heating,Low-level Balcony,Industrial,Sea,Granite,New,2748000,Westminster,72,Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB
141 Bond Street,Chelsea,3,3,180,20,0,0,3,Detached House,Gas Heating,Low-level Balcony,Modern,Park,Marble,Renovated,3600000,Kensington and Chelsea,171,Redcliffe Gardens,1195000,Flat / Apartment,872,2,2,2,Chelsea,London,SW10 9HA
90 Piccadilly Circus,Kensington,3,3,160,93,0,0,3,Semi-Detached,Gas Heating,No Balcony,Classic,Sea,Laminate Flooring,Old,2431999,Kensington and Chelsea,507,Queen's Gate Gardens,1595000,Flat / Apartment,1170,2,2,2,Kensington,London,SW7 5RR
110 King's Road,Marylebone,4,2,94,83,1,1,2,Detached House,Gas Heating,High-level Balcony,Minimalist,Sea,Wood,Old,1410000,Westminster,72,Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB
58 Fleet Street,Islington,1,3,159,41,0,1,2,Semi-Detached,Central Heating,No Balcony,Minimalist,City,Laminate Flooring,Renovated,1526400,Islington,1689,Enfield Road,699950,New development,942,2,2,2,Islington,London,N1 5EN
58 King's Road,Islington,5,2,86,22,1,1,3,Semi-Detached,Electric Heating,No Balcony,Industrial,Street,Marble,Renovated,825600,Islington,1289,Canonbury Square,2500000,House,2537,6,6,6,Islington,London,N1 2AU
185 Fleet Street,Islington,1,2,118,54,1,0,1,Detached House,Electric Heating,Low-level Balcony,Industrial,Park,Marble,Renovated,1416000,Islington,889,Liverpool Road,1895000,House,1868,3,3,3,Islington,London,N1 0RE
174 Piccadilly Circus,Marylebone,4,3,60,5,0,0,1,Detached House,Gas Heating,Low-level Balcony,Classic,City,Marble,Old,900000,Westminster,1147,Wimpole Mews,1050000,Flat / Apartment,1309,3,3,3,Marylebone,London,W1G 8PD
143 Strand,Marylebone,4,1,76,50,1,0,3,Apartment,Central Heating,Low-level Balcony,Classic,Park,Marble,Old,760000,Westminster,2785,Dunstable Mews,2250000,House,1269,2,2,2,Marylebone,London,W1G 6BT
44 Park Lane,Marylebone,4,2,64,88,0,0,2,Apartment,Underfloor Heating,Low-level Balcony,Classic,Street,Marble,Old,640000,Westminster,2250,Cato Street,2500000,House,1888,3,3,3,Marylebone,London,W1H 5JH
21 King's Road,Shoreditch,4,1,83,39,0,0,2,Detached House,Underfloor Heating,High-level Balcony,Industrial,Garden,Wood,Renovated,913000,Hackney,2057,City Road,1000000,New development,772,2,2,2,Shoreditch,London,EC1V 1AZ
182 Fleet Street,Greenwich,1,3,88,25,1,0,1,Apartment,Gas Heating,No Balcony,Industrial,Sea,Granite,Renovated,586666,Greenwich,1676,48 Reminder Lane,450000,Flat / Apartment,566,1,1,1,Greenwich,London,SE10 0NQ
42 Fleet Street,Islington,2,3,162,82,1,0,2,Semi-Detached,Gas Heating,High-level Balcony,Classic,Garden,Marble,New,1555200,Islington,1025,Stonefield Street,499950,Flat / Apartment,386,1,1,1,Islington,London,N1 0HW
195 Regent Street,Greenwich,5,1,91,78,1,0,1,Semi-Detached,Electric Heating,Low-level Balcony,Classic,Park,Granite,Old,728000,Greenwich,2076,47 Pilot Walk,720000,Flat / Apartment,987,2,2,2,Greenwich,London,SE10 0NW
42 Fleet Street,Islington,2,3,162,82,1,0,2,Semi-Detached,Gas Heating,High-level Balcony,Classic,Garden,Marble,New,1555200,Islington,1808,Islington Place,3350000,House,3564,4,4,4,Islington,London,N1 0ET
157 Bond Street,Westminster,1,2,210,60,0,0,3,Detached House,Gas Heating,Low-level Balcony,Classic,Park,Laminate Flooring,Renovated,3780000,Westminster,878,Maunsel Street,2950000,House,2349,5,5,5,Westminster,London,SW1P 2QN
83 Park Lane,Islington,2,2,107,56,0,0,2,Detached House,Underfloor Heating,High-level Balcony,Classic,Park,Laminate Flooring,Renovated,1284000,Islington,443,Ellington Street,2750000,House,2500,5,5,5,Islington,London,N7 8PN
77 Oxford Street,Islington,3,1,177,86,1,0,2,Apartment,Central Heating,High-level Balcony,Modern,Street,Marble,New,1416000,Islington,1106,Buckingham Road,699950,House,1255,1,1,1,Islington,London,N1 4JA
20 Piccadilly Circus,Shoreditch,5,3,185,34,1,0,3,Apartment,Electric Heating,High-level Balcony,Minimalist,Garden,Marble,Old,1356666,Hackney,1960,Baxendale Street,950000,House,987,2,2,2,Shoreditch,London,E2 7BY
25 Piccadilly Circus,Marylebone,5,1,98,8,0,1,3,Semi-Detached,Central Heating,High-level Balcony,Classic,Street,Marble,Renovated,1176000,Westminster,1147,Wimpole Mews,1050000,Flat / Apartment,1309,3,3,3,Marylebone,London,W1G 8PD
27 Oxford Street,Chelsea,1,2,236,84,1,1,2,Semi-Detached,Gas Heating,No Balcony,Minimalist,City,Laminate Flooring,Old,3776000,Kensington and Chelsea,2568,Markham Street,2950000,House,1415,3,3,3,Chelsea,London,SW3 3NP
153 Piccadilly Circus,Marylebone,1,3,209,60,1,0,3,Detached House,Underfloor Heating,Low-level Balcony,Industrial,City,Laminate Flooring,New,3135000,Westminster,3336,Bryanston Mews West,5250000,House,3108,8,8,8,Marylebone,London,W1H 2BW
84 Bond Street,Islington,4,2,96,10,1,0,2,Detached House,Electric Heating,No Balcony,Minimalist,Park,Wood,Renovated,1152000,Islington,1243,College Cross,2395000,House,2212,4,4,4,Islington,London,N1 1PT
22 King's Road,Islington,3,1,204,70,1,1,2,Detached House,Central Heating,No Balcony,Modern,Garden,Laminate Flooring,Renovated,2448000,Islington,309,Douglas Road,1900000,House,1703,5,5,5,Islington,London,N1 2LD
165 Oxford Street,Islington,1,2,150,34,1,0,1,Semi-Detached,Gas Heating,No Balcony,Classic,Park,Marble,Renovated,1440000,Islington,889,Liverpool Road,1895000,House,1868,3,3,3,Islington,London,N1 0RE
122 King's Road,Marylebone,4,3,211,3,0,0,1,Apartment,Electric Heating,High-level Balcony,Classic,Garden,Marble,New,2110000,Westminster,3336,Bryanston Mews West,5250000,House,3108,8,8,8,Marylebone,London,W1H 2BW
153 Strand,Marylebone,4,1,249,43,1,0,3,Semi-Detached,Central Heating,No Balcony,Classic,Street,Wood,Renovated,2988000,Westminster,3251,Harley Street,18500000,House,8603,6,6,6,Marylebone,London,W1G 6BF
175 Piccadilly Circus,Islington,5,1,71,16,1,1,1,Detached House,Underfloor Heating,Low-level Balcony,Industrial,Park,Granite,Old,852000,Islington,1431,Remington Street,1050000,House,1206,2,2,2,Islington,London,N1 8DH
129 Strand,Marylebone,3,1,57,82,0,0,2,Semi-Detached,Gas Heating,No Balcony,Industrial,Garden,Wood,Renovated,684000,Westminster,1710,Lisson Grove,1695000,Flat / Apartment,1636,4,4,4,Marylebone,London,NW1 6LW
169 Bond Street,Notting Hill,4,3,59,93,0,0,2,Detached House,Gas Heating,No Balcony,Classic,City,Wood,Old,943999,Kensington and Chelsea,3037,Ladbroke Grove,485000,Flat / Apartment,454,1,1,1,Notting Hill,London,W11 1PG
55 Baker Street,Islington,1,1,243,94,1,0,2,Detached House,Central Heating,High-level Balcony,Industrial,City,Granite,New,2916000,Islington,309,Douglas Road,1900000,House,1703,5,5,5,Islington,London,N1 2LD
114 Park Lane,Islington,1,2,234,7,1,0,3,Semi-Detached,Central Heating,No Balcony,Industrial,City,Granite,Renovated,2246400,Islington,2044,Waterloo Terrace,1850000,House,1512,3,3,3,Islington,London,N1 1TQ
113 Strand,Greenwich,3,2,191,35,1,0,3,Semi-Detached,Underfloor Heating,High-level Balcony,Industrial,Sea,Wood,Old,1528000,Greenwich,2688,Chandlers Avenue,395000,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN
